#  Years, Temperature, Anomaly
# Units: Degrees Fahrenheit
# Base Period: 2000-2025
Date,Value,Anomaly
200001,31.9,-1.2
200002,34.9,0.3
200003,39.2,1.4
200004,42.4,0.4
200005,46.9,0.6
200006,51,0.4
200007,53.9,-0.4
200008,56.1,-0.7
200009,57.1,-0.9
200010,57,-0.9
200011,55.8,-1.1
200012,53.5,-1.8
200101,31.6,-1.5
200102,34.4,-0.2
200103,36.1,-1.7
200104,40.6,-1.4
200105,45,-1.3
200106,49.5,-1.1
200107,52.7,-1.6
200108,55.5,-1.3
200109,56.6,-1.4
200110,56.4,-1.5
200111,55.9,-1
200112,54.7,-0.6
200201,38.1,5
200202,38.3,3.7
200203,40.2,2.4
200204,44.2,2.2
200205,47.7,1.4
200206,51.9,1.3
200207,55.5,1.2
200208,58.2,1.4
200209,59.3,1.3
200210,58.9,1
200211,57.5,0.6
200212,55.5,0.2
200301,27.4,-5.7
200302,28.4,-6.2
200303,33.4,-4.4
200304,38.1,-3.9
200305,42.3,-4
200306,46.7,-3.9
200307,50.7,-3.6
200308,53.9,-2.9
200309,55.3,-2.7
200310,55.2,-2.7
200311,54.7,-2.2
200312,53.1,-2.2
200401,26.8,-6.3
200402,30.2,-4.4
200403,35.1,-2.7
200404,39.8,-2.2
200405,45.7,-0.6
200406,49.7,-0.9
200407,53.4,-0.9
200408,55.8,-1
200409,57.2,-0.8
200410,56.9,-1
200411,56.1,-0.8
200412,54.5,-0.8
200501,33,-0.1
200502,34.5,-0.1
200503,36.1,-1.7
200504,40.7,-1.3
200505,44.2,-2.1
200506,49,-1.6
200507,52.9,-1.4
200508,55.8,-1
200509,57.5,-0.5
200510,57.4,-0.5
200511,56.5,-0.4
200512,54.5,-0.8
200601,40.4,7.3
200602,37.8,3.2
200603,40,2.2
200604,44.1,2.1
200605,47.8,1.5
200606,51.7,1.1
200607,55.4,1.1
200608,58.1,1.3
200609,58.8,0.8
200610,58.3,0.4
200611,57.4,0.5
200612,56.1,0.8
200701,37.4,4.3
200702,32.5,-2.1
200703,36.5,-1.3
200704,40,-2
200705,45,-1.3
200706,49.6,-1
200707,53.3,-1
200708,56,-0.8
200709,57.5,-0.5
200710,58,0.1
200711,56.8,-0.1
200712,55.2,-0.1
200801,35.1,2
200802,35.7,1.1
200803,38.4,0.6
200804,42.6,0.6
200805,46,-0.3
200806,50.6,0
200807,54.3,0
200808,56.5,-0.3
200809,57.8,-0.2
200810,57.5,-0.4
200811,56.2,-0.7
200812,54.7,-0.6
200901,27.9,-5.2
200902,32.4,-2.2
200903,35.8,-2
200904,40.6,-1.4
200905,45,-1.3
200906,49.3,-1.3
200907,52.6,-1.7
200908,55.5,-1.3
200909,56.6,-1.4
200910,56.4,-1.5
200911,55.7,-1.2
200912,53.9,-1.4
201001,31.9,-1.2
201002,31.3,-3.3
201003,36.9,-0.9
201004,42.1,0.1
201005,46.8,0.5
201006,51.7,1.1
201007,55.6,1.3
201008,58.1,1.3
201009,59.4,1.4
201010,59.1,1.2
201011,57.9,1
201012,55.7,0.4
201101,28.8,-4.3
201102,33.1,-1.5
201103,36.4,-1.4
201104,41.5,-0.5
201105,46.3,0
201106,50.9,0.3
201107,55,0.7
201108,57.4,0.6
201109,58.5,0.5
201110,58.2,0.3
201111,57.4,0.5
201112,56,0.7
201201,36.8,3.7
201202,38.6,4
201203,43.3,5.5
201204,45.9,3.9
201205,50.2,3.9
201206,53.7,3.1
201207,57.3,3
201208,59.5,2.7
201209,60.4,2.4
201210,60.1,2.2
201211,58.4,1.5
201212,57,1.7
201301,35.9,2.8
201302,34.9,0.3
201303,36.3,-1.5
201304,40.9,-1.1
201305,45.1,-1.2
201306,49.6,-1
201307,53.5,-0.8
201308,55.8,-1
201309,56.9,-1.1
201310,57,-0.9
201311,55.6,-1.3
201312,54.1,-1.2
201401,26.6,-6.5
201402,29.5,-5.1
201403,32.2,-5.6
201404,37.2,-4.8
201405,42.5,-3.8
201406,47.4,-3.2
201407,51.2,-3.1
201408,53.6,-3.2
201409,55.2,-2.8
201410,55.4,-2.5
201411,54.2,-2.7
201412,52.9,-2.4
201501,29.6,-3.5
201502,27.2,-7.4
201503,31.1,-6.7
201504,36.9,-5.1
201505,43.1,-3.2
201506,48,-2.6
201507,51.9,-2.4
201508,54.6,-2.2
201509,56.3,-1.7
201510,56.2,-1.7
201511,55.6,-1.3
201512,55,-0.3
201601,30.8,-2.3
201602,33.4,-1.2
201603,38.6,0.8
201604,42.2,0.2
201605,45.8,-0.5
201606,50.1,-0.5
201607,54.1,-0.2
201608,57,0.2
201609,58.5,0.5
201610,58.5,0.6
201611,57.4,0.5
201612,55.8,0.5
201701,37.9,4.8
201702,40.7,6.1
201703,41.2,3.4
201704,45.8,3.8
201705,48.9,2.6
201706,52.8,2.2
201707,56.2,1.9
201708,58.1,1.3
201709,59.1,1.1
201710,59.3,1.4
201711,58,1.1
201712,56,0.7
201801,30.9,-2.2
201802,35.8,1.2
201803,36.7,-1.1
201804,40.2,-1.8
201805,45.8,-0.5
201806,50,-0.6
201807,53.7,-0.6
201808,56.5,-0.3
201809,58.1,0.1
201810,58.1,0.2
201811,56.6,-0.3
201812,55.1,-0.2
201901,32.6,-0.5
201902,34.6,0
201903,36.9,-0.9
201904,42.1,0.1
201905,47,0.7
201906,51.1,0.5
201907,54.9,0.6
201908,57.3,0.5
201909,58.8,0.8
201910,58.9,1
201911,57.3,0.4
201912,55.7,0.4
202001,38.4,5.3
202002,39.4,4.8
202003,42.6,4.8
202004,44.8,2.8
202005,47.9,1.6
202006,52,1.4
202007,55.9,1.6
202008,58.4,1.6
202009,59.3,1.3
202010,59.2,1.3
202011,58.4,1.5
202012,56.6,1.3
202101,34.9,1.8
202102,34.4,-0.2
202103,38.6,0.8
202104,42.7,0.7
202105,46.5,0.2
202106,51,0.4
202107,54.7,0.4
202108,57.4,0.6
202109,58.7,0.7
202110,59.1,1.2
202111,57.7,0.8
202112,56.5,1.2
202201,30.2,-2.9
202202,34.2,-0.4
202203,38.2,0.4
202204,41.9,-0.1
202205,46.4,0.1
202206,50.6,0
202207,54.4,0.1
202208,57.1,0.3
202209,58.3,0.3
202210,57.9,0
202211,57,0.1
202212,55.2,-0.1
202301,41.7,8.6
202302,42.2,7.6
202303,43,5.2
202304,46.8,4.8
202305,49.6,3.3
202306,52.8,2.2
202307,56.4,2.1
202308,58.6,1.8
202309,59.7,1.7
202310,59.7,1.8
202311,58.3,1.4
202312,56.9,1.6
202401,35.8,2.7
202402,37.9,3.3
202403,41.2,3.4
202404,45,3
202405,49.1,2.8
202406,53.4,2.8
202407,57.1,2.8
202408,59.3,2.5
202409,60.2,2.2
202410,59.8,1.9
202411,58.9,2
202412,57.1,1.8
202501,28.6,-4.5
202502,32.4,-2.2
202503,38,0.2
202504,42.7,0.7
202505,47,0.7
202506,51.4,0.8
202507,55.4,1.1
